cancer,wavenumber,shap,abs_shap
PRC,866.51,0.010487781157963283,0.010487781157963283
PRC,868.44,0.06027923124080681,0.06027923124080681
PRC,870.37,-0.03963897532800832,0.03963897532800832
PRC,872.3,0.009427706599374298,0.009427706599374298
PRC,874.23,0.10323305264399651,0.10323305264399651
PRC,876.15,-0.011254778805216234,0.011254778805216234
PRC,878.08,-0.057551636331856705,0.057551636331856705
PRC,880.01,0.03405054963211881,0.03405054963211881
PRC,881.94,0.0228823902015775,0.0228823902015775
PRC,883.87,-0.0654937624233674,0.0654937624233674
PRC,885.79,0.008299398114741523,0.008299398114741523
PRC,887.72,0.015979226117540782,0.015979226117540782
PRC,889.65,0.022467295192291088,0.022467295192291088
PRC,891.58,0.04631671249616355,0.04631671249616355
PRC,893.51,-0.004875413112174912,0.004875413112174912
PRC,895.43,-0.005859172060477581,0.005859172060477581
PRC,897.36,-0.019444555110804087,0.019444555110804087
PRC,899.29,-0.04031954003364176,0.04031954003364176
PRC,901.22,-0.031334605890935105,0.031334605890935105
PRC,903.15,-0.01930032616667477,0.01930032616667477
PRC,905.07,0.01004302397105382,0.01004302397105382
PRC,907.0,0.0016474372677592513,0.0016474372677592513
PRC,908.93,-0.0036248652768985632,0.0036248652768985632
PRC,910.86,0.021308038456284272,0.021308038456284272
PRC,912.78,0.055173389526330684,0.055173389526330684
PRC,914.71,-0.04932497344454296,0.04932497344454296
PRC,916.64,-0.01871159382838601,0.01871159382838601
PRC,918.57,0.05035780153002064,0.05035780153002064
PRC,920.5,0.010590511524675938,0.010590511524675938
PRC,922.42,0.003857015485739829,0.003857015485739829
PRC,924.35,0.026326352694982336,0.026326352694982336
PRC,926.28,-0.011984497944088091,0.011984497944088091
PRC,928.21,-0.05027330163422658,0.05027330163422658
PRC,930.14,-0.016346057720629466,0.016346057720629466
PRC,932.06,-0.030560079432325433,0.030560079432325433
PRC,933.99,-0.007032035400500508,0.007032035400500508
PRC,935.92,-0.0005094045327353411,0.0005094045327353411
PRC,937.85,-0.011001042446180073,0.011001042446180073
PRC,939.78,-0.022522872777336802,0.022522872777336802
PRC,941.7,-0.015403926930261252,0.015403926930261252
PRC,943.63,-0.0015490106991879159,0.0015490106991879159
PRC,945.56,-0.0007286534762570969,0.0007286534762570969
PRC,947.49,0.009097135952033668,0.009097135952033668
PRC,949.41,-0.013012074640196384,0.013012074640196384
PRC,951.34,-0.05815067591309502,0.05815067591309502
PRC,953.27,0.016792264399595233,0.016792264399595233
PRC,955.2,0.0845721442099887,0.0845721442099887
PRC,957.13,0.005071509024844547,0.005071509024844547
PRC,959.05,-0.023233227857054197,0.023233227857054197
PRC,960.98,0.00962932289385747,0.00962932289385747
PRC,962.91,-0.03423528208010253,0.03423528208010253
PRC,964.84,-0.006214179559846942,0.006214179559846942
PRC,966.77,0.019337997181697306,0.019337997181697306
PRC,968.69,-0.008267464103455144,0.008267464103455144
PRC,970.62,-0.0207174937828289,0.0207174937828289
PRC,972.55,0.0006722232408962155,0.0006722232408962155
PRC,974.48,-0.0006721588295884493,0.0006721588295884493
PRC,976.41,0.048379155770574896,0.048379155770574896
PRC,978.33,0.06788283800186505,0.06788283800186505
PRC,980.26,0.011622891641311299,0.011622891641311299
PRC,982.19,-0.23061609634819547,0.23061609634819547
PRC,984.12,-0.38286022384485136,0.38286022384485136
PRC,986.04,-0.36655102270033085,0.36655102270033085
PRC,987.97,-0.41228591964310757,0.41228591964310757
PRC,989.9,-0.6283600804962394,0.6283600804962394
PRC,991.83,-0.5958815697805003,0.5958815697805003
PRC,993.76,-0.017638104110589956,0.017638104110589956
PRC,995.68,0.28468736746008266,0.28468736746008266
PRC,997.61,0.30259370295813987,0.30259370295813987
PRC,999.54,0.24156046607772902,0.24156046607772902
PRC,1001.47,0.13996136981252294,0.13996136981252294
PRC,1003.4,0.06817699756084797,0.06817699756084797
PRC,1005.32,0.021559661410042015,0.021559661410042015
PRC,1007.25,-0.0015697022803789393,0.0015697022803789393
PRC,1009.18,0.00451477164255204,0.00451477164255204
PRC,1011.11,-0.001376324766554224,0.001376324766554224
PRC,1013.04,0.006807977255738093,0.006807977255738093
PRC,1014.96,0.014736197377165278,0.014736197377165278
PRC,1016.89,0.006279587231188518,0.006279587231188518
PRC,1018.82,-0.005144194927485656,0.005144194927485656
PRC,1020.75,-0.007104760588938445,0.007104760588938445
PRC,1022.67,-0.0023432728310309294,0.0023432728310309294
PRC,1024.6,6.093575958696785e-05,6.093575958696785e-05
PRC,1026.53,0.00025844348566371163,0.00025844348566371163
PRC,1028.46,-0.0006625397925708839,0.0006625397925708839
PRC,1030.39,-0.0031988217663035503,0.0031988217663035503
PRC,1032.31,-0.00962139185427989,0.00962139185427989
PRC,1034.24,-0.010945921123085713,0.010945921123085713
PRC,1036.17,0.004238199846021697,0.004238199846021697
PRC,1038.1,0.0022082665261835607,0.0022082665261835607
PRC,1040.03,-0.010012494065552857,0.010012494065552857
PRC,1041.95,-0.005379284441830143,0.005379284441830143
PRC,1043.88,0.0022884931476293904,0.0022884931476293904
PRC,1045.81,0.004639223092421028,0.004639223092421028
PRC,1047.74,-5.057446558504473e-05,5.057446558504473e-05
PRC,1049.67,-0.0027601329400921276,0.0027601329400921276
PRC,1051.59,-0.00702515736451161,0.00702515736451161
PRC,1053.52,0.05230906100341354,0.05230906100341354
PRC,1055.45,0.025640071284399404,0.025640071284399404
PRC,1057.38,-0.0773593669569844,0.0773593669569844
